		local t=0
		zo_callLater(Press1, t)

		t=t+1000
		zo_callLater(LClick, t)

		t=t+1000
		zo_callLater(BarSwap, t)

		t=t+1000
		zo_callLater(BarSwap, t)

		t=t+1000
		zo_callLater(LClick, t)
		zo_callLater(Press1, t+50)

		t=t+2000
		zo_callLater(Press1, t)
		zo_callLater(LClick, t+600)

		t=t+2000
		zo_callLater(Press1, t)
		zo_callLater(Press1, t+700)

		t=t+2000
		zo_callLater(AHKRapidFire.CeaseFireFnc, t)

1	3005403	EVENT_ACTION_UPDATE_COOLDOWNS	131183
2	3005405	OnActionUpdateCooldowns	990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990
3	3005405	EVENT_ACTION_SLOT_ABILITY_USED	131185	3
4	3005406	OnActionSlotAbilityUsed	990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990
5	3005406	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
6	3005406	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
7	3005406	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
8	3005406	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
9	3005406	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
10	3005406	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
11	3005406	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
12	3005498	EVENT_EFFECT_CHANGED	131151	1	54844	Seething Fury	player	3005.4929199219	3010.4929199219	1	/esoui/art/icons/ability_dragonknight_025.dds		1	5	0	Phrost Pendragon^Mx	31087	122658	1
13	3005499	EVENT_COMBAT_EVENT	131106	2245	false	Seething Fury	37686	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	5000	-1	1	true	31087	31087	122658	0
14	3005499	EVENT_ACTION_UPDATE_COOLDOWNS	131183
15	3005501	OnActionUpdateCooldowns	898, 898, 898, 898, 898, 898, 898, 898, 898, 898, 898, 898, 898, 898, 898, 898
16	3005501	EVENT_COMBAT_EVENT	131106	2240	false	Seething Fury	37686	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	1	-1	1	true	31087	31087	122658	0
17	3005501	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
18	3005501	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
19	3005501	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
20	3005501	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
21	3005501	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
22	3005501	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
23	3005501	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
24	3006003	EVENT_ACTION_UPDATE_COOLDOWNS	131183
25	3006003	OnActionUpdateCooldowns	390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390
26	3006394	EVENT_ACTION_UPDATE_COOLDOWNS	131183
27	3006394	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28	3006414	EVENT_ACTION_UPDATE_COOLDOWNS	131183
29	3006414	OnActionUpdateCooldowns	689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30	3006414	EVENT_ACTION_SLOT_ABILITY_USED	131185	1
31	3006414	OnActionSlotAbilityUsed	689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32	3006414	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
33	3006414	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
34	3006414	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
35	3006414	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
36	3006414	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
37	3006414	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
38	3006414	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
39	3006513	EVENT_ACTION_UPDATE_COOLDOWNS	131183
40	3006514	OnActionUpdateCooldowns	590, 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41	3006514	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
42	3006514	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
43	3006514	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
44	3006514	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
45	3006514	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
46	3006514	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
47	3006514	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
48	3007103	EVENT_ACTION_UPDATE_COOLDOWNS	131183
49	3007103	OnActionUpdateCooldowns	0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50	3007214	EVENT_ACTION_UPDATE_COOLDOWNS	131183
51	3007214	OnActionUpdateCooldowns	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52	3007384	EVENT_WEAPON_PAIR_LOCK_CHANGED	131251	true
53	3007384	EVENT_ACTION_SLOT_STATE_UPDATED	131178	4
54	3007384	EVENT_ACTION_SLOT_STATE_UPDATED	131178	3
55	3007384	EVENT_ACTION_SLOT_STATE_UPDATED	131178	8
56	3007384	EVENT_ACTION_SLOT_STATE_UPDATED	131178	6
57	3007384	EVENT_ACTION_SLOT_STATE_UPDATED	131178	5
58	3007384	EVENT_ACTION_SLOT_STATE_UPDATED	131178	7
59	3007384	EVENT_ACTION_SLOT_STATE_UPDATED	131178	2
60	3007384	EVENT_ACTION_SLOT_STATE_UPDATED	131178	1
61	3007485	EVENT_COMBAT_EVENT	131106	2250	false	Silks of the Sun	0	0		0	Phrost Pendragon^Mx	1	0	-1	1	false	0	31087	29095	0
62	3007485	EVENT_COMBAT_EVENT	131106	2240	false	Silks of the Sun	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	1	-1	1	false	31087	31087	29095	0
63	3007486	EVENT_COMBAT_EVENT	131106	2240	false	Silks of the Sun	0	0	Phrost Pendragon^Mx	1	Phrost Pendragon^Mx	1	0	-1	1	false	31087	31087	29095	0
64	3007486	EVENT_COMBAT_EVENT	131106	2250	false	Seething Fury	0	0		0	Phrost Pendragon^Mx	1	0	-1	1	true	0	31087	32842	0
65	3007486	EVENT_COMBAT_EVENT	131106	2250	false	Major Prophecy	0	0		0	Phrost Pendragon^Mx	1	0	-1	1	true	0	31087	76420	0
66	3007486	EVENT_COMBAT_EVENT	131106	2250	false	Major Savagery	0	0		0	Phrost Pendragon^Mx	1	0	-1	1	true	0	31087	76426	0
67	3007486	EVENT_EFFECT_CHANGED	131151	2	11	Major Savagery	player	0	0	0	/esoui/art/icons/ability_buff_major_savagery.dds		1	0	0	Phrost Pendragon^Mx	31087	61667	1
68	3007486	EVENT_ACTION_SLOT_STATE_UPDATED	131178	9
